"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","","","","","",""
"","","","","","html-keyboard-response","1","884","0.0-1.0","880","Welcome to the experiment. Press any key to begin.","enter","","",""
"","","","","","html-keyboard-response","2","3971","0.0-2.0","3085","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='img/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='img/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      "," ","","",""
"","","","","","html-keyboard-response","3","7242","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","7580","0.0-3.0-1.0","334","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","9583","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","10028","0.0-3.0-1.1","443","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","12043","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","12446","0.0-3.0-1.2","401","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","9","13211","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","13623","0.0-3.0-1.3","411","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","15635","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","16081","0.0-3.0-1.4","443","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","18091","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","18374","0.0-3.0-1.5","282","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","19388","0.0-3.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","19672","0.0-3.0-1.6","283","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","21434","0.0-3.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","21879","0.0-3.0-1.7","442","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","22137","0.0-3.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","22724","0.0-3.0-1.8","586","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","21","24234","0.0-3.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","24667","0.0-3.0-1.9","431","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","23","27962","0.0-4.0","3295","<p>You responded correctly on 100% of the trials.</p>
          <p>Your average response time was 406ms.</p>
          <p>Press any key to complete the experiment. Thank you!</p>","enter","","",""
