"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","","","","","",""
"","","","","","html-keyboard-response","1","844","0.0-1.0","840","Welcome to the experiment. Press any key to begin.","enter","","",""
"","","","","","html-keyboard-response","2","1470","0.0-2.0","625","
        <p>In this experiment, a circle will appear in the center 
        of the screen.</p><p>If the circle is <strong>blue</strong>, 
        press the letter F on the keyboard as fast as you can.</p>
        <p>If the circle is <strong>orange</strong>, press the letter J 
        as fast as you can.</p>
        <div style='width: 700px;'>
        <div style='float: left;'><img src='img/blue.png'></img>
        <p class='small'><strong>Press the F key</strong></p></div>
        <div style='float: right;'><img src='img/orange.png'></img>
        <p class='small'><strong>Press the J key</strong></p></div>
        </div>
        <p>Press any key to begin.</p>
      ","enter","","",""
"","","","","","html-keyboard-response","3","2727","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2955","0.0-3.0-1.0","226","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","5","3711","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","3941","0.0-3.0-1.1","228","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","7","4446","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","4702","0.0-3.0-1.2","254","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","4953","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","5228","0.0-3.0-1.3","275","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","11","5981","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","6219","0.0-3.0-1.4","237","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","6471","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","6722","0.0-3.0-1.5","250","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","15","7478","0.0-3.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","7716","0.0-3.0-1.6","237","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","8219","0.0-3.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","8449","0.0-3.0-1.7","229","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","19","9205","0.0-3.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","9428","0.0-3.0-1.8","223","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","21","9630","0.0-3.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","9919","0.0-3.0-1.9","288","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","23","10125","0.0-3.0-0.10","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","24","10396","0.0-3.0-1.10","269","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","25","10748","0.0-3.0-0.11","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","26","10987","0.0-3.0-1.11","238","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","27","11644","0.0-3.0-0.12","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","28","11887","0.0-3.0-1.12","242","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","29","12092","0.0-3.0-0.13","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","30","12367","0.0-3.0-1.13","274","img/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","31","12573","0.0-3.0-0.14","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","32","12890","0.0-3.0-1.14","316","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","33","13392","0.0-3.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","34","13642","0.0-3.0-1.15","248","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","35","13898","0.0-3.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","36","14144","0.0-3.0-1.16","245","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","37","14400","0.0-3.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","38","14643","0.0-3.0-1.17","241","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","39","15295","0.0-3.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","40","15533","0.0-3.0-1.18","237","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","41","15889","0.0-3.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","42","16156","0.0-3.0-1.19","266","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","43","16360","0.0-3.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","44","16646","0.0-3.0-1.20","285","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","45","17003","0.0-3.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","46","17255","0.0-3.0-1.21","252","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","47","17911","0.0-3.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","48","18170","0.0-3.0-1.22","258","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","49","18426","0.0-3.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","50","18688","0.0-3.0-1.23","261","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","51","19444","0.0-3.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","52","19682","0.0-3.0-1.24","236","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","53","19938","0.0-3.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","54","20238","0.0-3.0-1.25","299","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","55","20741","0.0-3.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","56","20971","0.0-3.0-1.26","229","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","57","21327","0.0-3.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","58","21579","0.0-3.0-1.27","250","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","59","22335","0.0-3.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","60","22596","0.0-3.0-1.28","261","img/orange.png","f","response","j","false"
"","","","","","html-keyboard-response","61","22948","0.0-3.0-0.29","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","62","23294","0.0-3.0-1.29","345","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","63","23650","0.0-3.0-0.30","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","64","23906","0.0-3.0-1.30","254","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","65","24411","0.0-3.0-0.31","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","66","24618","0.0-3.0-1.31","205","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","67","25374","0.0-3.0-0.32","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","68","25598","0.0-3.0-1.32","223","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","69","25952","0.0-3.0-0.33","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","70","26226","0.0-3.0-1.33","273","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","71","26729","0.0-3.0-0.34","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","72","26991","0.0-3.0-1.34","261","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","73","27745","0.0-3.0-0.35","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","74","28006","0.0-3.0-1.35","260","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","75","28662","0.0-3.0-0.36","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","76","28925","0.0-3.0-1.36","261","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","77","29128","0.0-3.0-0.37","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
